Cell_Name_Vevo,drug,concentration,plate,position,delta,se,z,p,fdr
A549,Auranofin,5.0,12,b1,-2.5756317377090454,0.4043358659423837,-6.370030350154648,1.88990798073369e-10,1.1514620000465844e-07
A549,Azithromycin (hydrate),0.050000000745058,4,b1,0.19503888487815857,0.31188707963421836,0.6253509606967383,0.5317407401588934,0.8349232874704824
A549,Azithromycin (hydrate),0.5,5,b1,-0.4850076138973235,0.26604788540678315,-1.823008715727074,0.06830207084774377,0.3882640926954233
A549,Azithromycin (hydrate),5.0,6,b1,-0.054319605231285095,0.3164080937770356,-0.1716757766302991,0.8636924305004008,0.9649021131653149
A549,Azithromycin (hydrate),5.0,14,b1,-0.3815574571490288,0.45246056523361733,-0.8432943917488601,0.3990638185886429,0.7632310802771102
A549,BAY1125976,0.050000000745058,1,b1,-0.39687517285346985,0.302882656092014,-1.3103265072163839,0.19008540393515916,0.5855825127914961
A549,BAY1125976,0.5,2,b1,-0.3858863413333894,0.31405121148823745,-1.228736993258956,0.21917043147707582,0.6159671473325532
A549,BAY1125976,5.0,3,b1,-0.424435496330261,0.3705462033486933,-1.1454320473251658,0.2520302293005646,0.6495877389296121
A549,BI-3406,0.050000000745058,1,b1,-0.0009248405694960993,0.2576194590239767,-0.0035899484184928132,0.9971356417353198,0.9992646283994089
A549,BI-3406,0.5,2,b1,0.21606582403182983,0.1834949499400439,1.177502836467316,0.23899486606306997,0.635921407959733
A549,BI-3406,5.0,3,b1,0.20008906722068787,0.37553438698513253,0.5328115724023148,0.5941640222431073,0.8642920686818373
A549,BI-78D3,0.050000000745058,1,b1,-0.4149988144636154,0.29848809566902434,-1.3903362327849178,0.164426800226954,0.5540408750273351
A549,BI-78D3,0.5,2,b1,-0.16905814409255981,0.24222603684720478,-0.6979354750340113,0.4852175476964793,0.8119117702644597
A549,BI-78D3,5.0,3,b1,-0.4423268437385559,0.5002529103111727,-0.8842064376265497,0.3765847838254094,0.7467121717915506
A549,Baicalin,0.050000000745058,4,b1,0.5474204421043395,0.33042785054232654,1.6567018827434372,0.09757976218553781,0.44795142874154936
A549,Baicalin,0.5,5,b1,0.2128663957118988,0.24465404153466544,0.8700710373580214,0.3842615842820952,0.7528424666307761
A549,Baicalin,5.0,6,b1,0.0951992459595204,0.2670160212642289,0.35653008950093984,0.7214436224132948,0.916960106293135
A549,Baicalin,5.0,14,b1,0.35780810564756405,0.4867475293581819,0.73509999345937,0.4622785983232147,0.7995792408339003
A549,Balsalazide (sodium hydrate),0.050000000745058,4,b1,-0.08922708034515381,0.2903346838832615,-0.3073249091418594,0.7585960777446807,0.9303601860818834
A549,Balsalazide (sodium hydrate),0.5,5,b1,-0.4159170612692832,0.28919426607529863,-1.4381926271006675,0.15037940659578647,0.5348422840635949
A549,Balsalazide (sodium hydrate),5.0,6,b1,-0.37177592515945435,0.26766229454054136,-1.3889738403297722,0.16484070492545633,0.5545983200154002
A549,Balsalazide (sodium hydrate),5.0,14,b1,0.1921455487608908,0.4192124932889788,0.45834881316010234,0.6467018600299312,0.8880379687892934
A549,Belinostat,0.050000000745058,10,b1,-0.03420411050319669,0.3313458819013178,-0.10322781229972683,0.9177821667956904,0.9801600786900145
A549,Belinostat,0.5,11,b1,-2.207887500524521,0.49500647431895467,-4.4603204504793625,8.183719565246405e-06,0.00116761572151235
A549,Belinostat,5.0,12,b1,-1.5814699046313763,0.37917572766742486,-4.170809968138267,3.035188943744065e-05,0.0033524342286632793
A549,Belumosudil,0.050000000745058,7,b1,-1.0433626174926758,0.5629904048454472,-1.8532511540389414,0.06384636877039195,0.3759001399904352
A549,Belumosudil,0.050000000745058,13,b1,-0.19625821709632868,0.33557592864035063,-0.5848399731515487,0.5586553236406387,0.8476140119888971
A549,Belumosudil,0.5,8,b1,-0.6082765609025954,0.35443461030739715,-1.7161883834511646,0.08612756865882273,0.4242510906151624
A549,Belumosudil,0.5,13,b1,-0.449527531862259,0.36351581256972565,-1.2366106681426288,0.2162316574270433,0.6132498209685734
A549,Belumosudil,5.0,9,b1,-1.150223346427083,0.48508041082345404,-2.371201394165779,0.017730367031207818,0.208528672143075
A549,Belumosudil,5.0,13,b1,0.49876266717910767,0.4168185832586102,1.1965941232271216,0.2314647921822116,0.6290074444295718
A549,Belumosudil (mesylate),0.050000000745058,1,b1,0.08031692355871199,0.24649926755208557,0.32583027266700065,0.7445527732528155,0.9248780808036917
A549,Belumosudil (mesylate),0.5,2,b1,-0.4395745396614075,0.2224710448821703,-1.9758730395419506,0.04816915840224904,0.3317968457802377
A549,Belumosudil (mesylate),5.0,3,b1,0.5418609231710434,0.38233024665554666,1.4172588433978204,0.1564072633593964,0.5427963060466771
A549,Belzutifan,0.5,2,b1,-0.34852725267410284,0.23126487573693172,-1.5070479317860588,0.13179837161401778,0.5073341937767306
A549,Belzutifan,5.0,3,b1,-0.1410847697407006,0.4951735183333104,-0.28491986044725004,0.7757055399145155,0.9362065967162878
A549,Bendamustine,0.050000000745058,7,b1,-0.7898522168397903,0.44858171836023675,-1.760776653420133,0.07827621284517002,0.40818026617274283
A549,Bendamustine,0.5,8,b1,0.392000675201416,0.43151858876220156,0.908421294957092,0.36365567905249474,0.7391297111153043
A549,Bendamustine,5.0,9,b1,-0.9219563603401184,0.529383701056123,-1.7415654439318988,0.08158451244656642,0.4152287473499818
A549,Benproperine (phosphate),0.050000000745058,7,b1,-0.21835216879844668,0.37059745032387476,-0.5891896142502412,0.555734083352452,0.8459834882963827
A549,Benproperine (phosphate),0.5,8,b1,-0.10079661011695867,0.30452202538033846,-0.33099940797736016,0.7406449327373762,0.9233803180768565
